"SPECIES","YEAR","WEEKNO","NM"
2,1976,1,0.00373894555064155
2,1976,2,0.00677953741621942
2,1976,3,0.0120253177554448
2,1976,4,0.0186924628541707
2,1976,5,0.0223467664176233
2,1976,6,0.0196753148996064
2,1976,7,0.0139854303563049
2,1976,8,0.00898816036180843
2,1976,9,0.00655492672955558
2,1976,10,0.0073272780479545
2,1976,11,0.0150231779813846
2,1976,12,0.041440708727625
2,1976,13,0.100053368737713
2,1976,14,0.158635421660038
2,1976,15,0.154579360603914
2,1976,16,0.0906328858979687
2,1976,17,0.0423876331320556
2,1976,18,0.0254902524062344
2,1976,19,0.0273693489064836
2,1976,20,0.0395974228418085
2,1976,21,0.0502061644189653
2,1976,22,0.0454037661663996
2,1976,23,0.0337419203117249
2,1976,24,0.024240131464274
2,1976,25,0.0178216426116969
2,1976,26,0.013262653742385
2,1977,1,0.00690147431303455
2,1977,2,0.0107009839369649
2,1977,3,0.0158597922271117
2,1977,4,0.021477734588099
2,1977,5,0.025723496065775
2,1977,6,0.0270704933965885
2,1977,7,0.0249828495078528
2,1977,8,0.0209743841937837
2,1977,9,0.0173757671751484
2,1977,10,0.015322285926085
2,1977,11,0.0141391403894717
2,1977,12,0.0126422116420182
2,1977,13,0.0105311329967199
2,1977,14,0.0097580256835895
2,1977,15,0.0129446033906678
2,1977,16,0.0271258931215488
2,1977,17,0.0636079270853076
2,1977,18,0.109674572463493
2,1977,19,0.116639962448887
2,1977,20,0.0937092091540151
2,1977,21,0.0715117496025848
2,1977,22,0.0582485460705893
2,1977,23,0.0516338472264653
2,1977,24,0.050411622471668
2,1977,25,0.0530555328590441
2,1977,26,0.0579767620634865
2,1978,1,0.0162030417253255
2,1978,2,0.0251901351431191
2,1978,3,0.035432374649578
2,1978,4,0.0408126133225258
2,1978,5,0.0368896773479759
2,1978,6,0.0282641623584969
2,1978,7,0.0201257181153375
2,1978,8,0.0145099394217079
2,1978,9,0.0114555629752639
2,1978,10,0.0106073293359325
2,1978,11,0.0110676678497729
2,1978,12,0.0116559929975719
2,1978,13,0.0115021526582384
2,1978,14,0.0121359195507924
2,1978,15,0.0167827939466512
2,1978,16,0.0330055091359001
2,1978,17,0.0704891156859546
2,1978,18,0.11755512940539
2,1978,19,0.129029069023191
2,1978,20,0.100486876458382
2,1978,21,0.061412343887573
2,1978,22,0.0352403295653474
2,1978,23,0.0243179612894498
2,1978,24,0.0250524448299796
2,1978,25,0.0366889635614167
2,1978,26,0.0640871757591261
2,1979,1,0.0348799464785969
2,1979,2,0.0431476048476815
2,1979,3,0.0500344231194746
2,1979,4,0.0509977774389856
2,1979,5,0.0445963001257614
2,1979,6,0.0355314096934851
2,1979,7,0.0276260765934436
2,1979,8,0.0211089823792755
2,1979,9,0.0148643361815415
2,1979,10,0.00917577684784061
2,1979,11,0.00583946319324534
2,1979,12,0.0051663604748411
2,1979,13,0.00793613970800292
2,1979,14,0.0169901884551744
2,1979,15,0.0348987303433547
2,1979,16,0.0527703161670594
2,1979,17,0.0615922033578537
2,1979,18,0.0615029573823608
2,1979,19,0.0570450402810959
2,1979,20,0.0516796496987824
2,1979,21,0.0478934014418589
2,1979,22,0.0464655627626873
2,1979,23,0.0473429833693066
2,1979,24,0.0507001936766445
2,1979,25,0.0563655568997319
2,1979,26,0.0638486190819136
2,1980,1,0.0369768470281305
2,1980,2,0.0460549908807721
2,1980,3,0.0536049382649912
2,1980,4,0.0544898816476638
2,1980,5,0.0455539753075012
2,1980,6,0.0299711464794085
2,1980,7,0.0149785308985165
2,1980,8,0.00671086369034012
2,1980,9,0.00401375577438043
2,1980,10,0.00463096247134222
2,1980,11,0.00903867174988025
2,1980,12,0.0189613109550199
2,1980,13,0.0292374924866505
2,1980,14,0.0352524636978115
2,1980,15,0.0412245989778646
2,1980,16,0.0529641880436025
2,1980,17,0.0652056261466157
2,1980,18,0.0641976926321115
2,1980,19,0.0492721751131989
2,1980,20,0.036560651485798
2,1980,21,0.0328547830770498
2,1980,22,0.0369832862981166
2,1980,23,0.0457008971292942
2,1980,24,0.0547355489129474
2,1980,25,0.0621431042010677
2,1980,26,0.0686816166499242
2,1981,1,0.0267724602210112
2,1981,2,0.0431522084924666
2,1981,3,0.0602583698218788
2,1981,4,0.0631947520483233
2,1981,5,0.0473750094431974
2,1981,6,0.0293986704458813
2,1981,7,0.0178612040761067
2,1981,8,0.0112903527764474
2,1981,9,0.00697244304627468
2,1981,10,0.00399021792630747
2,1981,11,0.0024456301105109
2,1981,12,0.00210749864320143
2,1981,13,0.00314759220864867
2,1981,14,0.00697726562356805
2,1981,15,0.0173209071250562
2,1981,16,0.0377019852987936
2,1981,17,0.0626776726483021
2,1981,18,0.0708423677784772
2,1981,19,0.0568230120135501
2,1981,20,0.0432112987451784
2,1981,21,0.0418676306177784
2,1981,22,0.0527792311960958
2,1981,23,0.069707767845125
2,1981,24,0.0789398694039242
2,1981,25,0.0759185483823921
2,1981,26,0.0672660340615029
2,1982,1,0.00431678128315633
2,1982,2,0.0067177252855285
2,1982,3,0.00908358687551042
2,1982,4,0.00927981617044574
2,1982,5,0.00696971038722156
2,1982,6,0.00474149846116681
2,1982,7,0.00369557250051492
2,1982,8,0.00375962812998742
2,1982,9,0.0050401171677894
2,1982,10,0.00880949036583928
2,1982,11,0.016993778972009
2,1982,12,0.0276918524494399
2,1982,13,0.03104510711188
2,1982,14,0.027862546180215
2,1982,15,0.0263672523263578
2,1982,16,0.0312420219931168
2,1982,17,0.0408331025530318
2,1982,18,0.0492766036788119
2,1982,19,0.0524494840040841
2,1982,20,0.0577217983062496
2,1982,21,0.0773210904962362
2,1982,22,0.116714138363716
2,1982,23,0.149300524552218
2,1982,24,0.125522182602467
2,1982,25,0.072523402229667
2,1982,26,0.0347211875533405
2,1983,1,0.0173463768738621
2,1983,2,0.031931434616995
2,1983,3,0.050370799934384
2,1983,4,0.0583901731960375
2,1983,5,0.0476975804678758
2,1983,6,0.0332846079847389
2,1983,7,0.0246408011604899
2,1983,8,0.0204104639340687
2,1983,9,0.0165170600850843
2,1983,10,0.0114672224970812
2,1983,11,0.0072411711463906
2,1983,12,0.00497907000916786
2,1983,13,0.00441837177240509
2,1983,14,0.00560422852222059
2,1983,15,0.0109897481361262
2,1983,16,0.0315321147233372
2,1983,17,0.0853235241198479
2,1983,18,0.131838361654539
2,1983,19,0.101741373101276
2,1983,20,0.0606492241727517
2,1983,21,0.0444414629025299
2,1983,22,0.0440550362307043
2,1983,23,0.0472634985561059
2,1983,24,0.0445022388685015
2,1983,25,0.0361314250273242
2,1983,26,0.0272326303061553
2,1984,1,0.00399539976365708
2,1984,2,0.00732543866888626
2,1984,3,0.0123174463975339
2,1984,4,0.0174209107359057
2,1984,5,0.0192642640535362
2,1984,6,0.0159233929364149
2,1984,7,0.00949609403331322
2,1984,8,0.00473479742749909
2,1984,9,0.00282563440061312
2,1984,10,0.00283766200018454
2,1984,11,0.00476690903018863
2,1984,12,0.0106464208890981
2,1984,13,0.0250454869387679
2,1984,14,0.049313006280681
2,1984,15,0.0646475354505653
2,1984,16,0.0516061076896439
2,1984,17,0.0342589341305931
2,1984,18,0.0276580881008771
2,1984,19,0.0325560851682491
2,1984,20,0.0492354656197905
2,1984,21,0.0820023791077698
2,1984,22,0.126261775144008
2,1984,23,0.148170478691657
2,1984,24,0.112463699136785
2,1984,25,0.0592401462122601
2,1984,26,0.0259864419915209
2,1985,1,0.0237817884224039
2,1985,2,0.0392906972398225
2,1985,3,0.0568522277336701
2,1985,4,0.0631325443617766
2,1985,5,0.05124511497343
2,1985,6,0.0344923031323259
2,1985,7,0.0222654373362347
2,1985,8,0.0146918857368717
2,1985,9,0.00961061350591272
2,1985,10,0.00607747238086422
2,1985,11,0.00410486926648148
2,1985,12,0.00354630957871983
2,1985,13,0.00450771796316657
2,1985,14,0.00768215089273586
2,1985,15,0.014751651516619
2,1985,16,0.0274208905023028
2,1985,17,0.0451725130050653
2,1985,18,0.0611308699488519
2,1985,19,0.0669182650507666
2,1985,20,0.0640821767989933
2,1985,21,0.0584582537359516
2,1985,22,0.0541770054024738
2,1985,23,0.0534256862914898
2,1985,24,0.0582767964765683
2,1985,25,0.0691913754551315
2,1985,26,0.0857133832913701
2,1986,1,0.00249109413440268
2,1986,2,0.0122822773592171
2,1986,3,0.0443615397390245
2,1986,4,0.0860928279373892
2,1986,5,0.0810273017265687
2,1986,6,0.0515660563745651
2,1986,7,0.0324259531430893
2,1986,8,0.0231844436738111
2,1986,9,0.0164554349690611
2,1986,10,0.0101946477651745
2,1986,11,0.0062997882990392
2,1986,12,0.00525448497197099
2,1986,13,0.0074550913776415
2,1986,14,0.014991877187057
2,1986,15,0.0308362597564801
2,1986,16,0.0506855027340218
2,1986,17,0.0653929509040405
2,1986,18,0.0677977212839146
2,1986,19,0.0597822846773633
2,1986,20,0.0499571029682704
2,1986,21,0.0440990547402395
2,1986,22,0.0425893936309334
2,1986,23,0.0437368806523956
2,1986,24,0.0464021895689135
2,1986,25,0.0500920828079617
2,1986,26,0.0545457576174534
2,1987,1,0.00661028387489176
2,1987,2,0.0105723720533237
2,1987,3,0.0146243586325488
2,1987,4,0.0151390688333457
2,1987,5,0.010993197602466
2,1987,6,0.00620641895998921
2,1987,7,0.00308569323659829
2,1987,8,0.00155668822596007
2,1987,9,0.000936552337955674
2,1987,10,0.00078569346692864
2,1987,11,0.000999356866193609
2,1987,12,0.00199955357100898
2,1987,13,0.00615768223681611
2,1987,14,0.0206569366854764
2,1987,15,0.04774800880712
2,1987,16,0.0570291874750381
2,1987,17,0.0430844835489238
2,1987,18,0.0274993282024606
2,1987,19,0.0193574635821508
2,1987,20,0.0189333850106864
2,1987,21,0.0316513262354884
2,1987,22,0.0764571904527426
2,1987,23,0.163126434669741
2,1987,24,0.197455667998163
2,1987,25,0.140600379936826
2,1987,26,0.0767332874971562
2,1988,1,0.0381999549420169
2,1988,2,0.0371702585618517
2,1988,3,0.0349227332213937
2,1988,4,0.0305883312682142
2,1988,5,0.023891769250106
2,1988,6,0.0156103849975868
2,1988,7,0.00803422608952683
2,1988,8,0.00371199206950242
2,1988,9,0.0021876724518142
2,1988,10,0.00228762993380092
2,1988,11,0.00399390672624733
2,1988,12,0.00851319213779327
2,1988,13,0.016821442500296
2,1988,14,0.0295556229700237
2,1988,15,0.0480432015320827
2,1988,16,0.0719249295114838
2,1988,17,0.0869329117673065
2,1988,18,0.0729029117611556
2,1988,19,0.0434392318864147
2,1988,20,0.024711898237791
2,1988,21,0.0182506345316937
2,1988,22,0.019351976369161
2,1988,23,0.0272495058286453
2,1988,24,0.0469210110432341
2,1988,25,0.0920470607708239
2,1988,26,0.192735609640034
2,1989,1,0.0226475729878287
2,1989,2,0.0191544571642994
2,1989,3,0.0166582583068118
2,1989,4,0.0153118974275595
2,1989,5,0.0142760656537752
2,1989,6,0.011221318728048
2,1989,7,0.00613330650248698
2,1989,8,0.00264174499071415
2,1989,9,0.00146713805864547
2,1989,10,0.00167486940042494
2,1989,11,0.00365091169966188
2,1989,12,0.00996277011681657
2,1989,13,0.0232361278647468
2,1989,14,0.0409815313477814
2,1989,15,0.0529243672874271
2,1989,16,0.0513626991275991
2,1989,17,0.0454411518385062
2,1989,18,0.0457027538465093
2,1989,19,0.0569344741438622
2,1989,20,0.0776450996935738
2,1989,21,0.10089561371464
2,1989,22,0.114101060264973
2,1989,23,0.106931655919443
2,1989,24,0.0800379479064595
2,1989,25,0.0501946740679392
2,1989,26,0.0288105319394678
2,1990,1,0.0375744946968401
2,1990,2,0.0372920417374213
2,1990,3,0.0341037077545075
2,1990,4,0.0264924015516078
2,1990,5,0.0174283478281936
2,1990,6,0.0114078528607246
2,1990,7,0.00887974974749905
2,1990,8,0.00882137010616216
2,1990,9,0.010598755202252
2,1990,10,0.0144919670815179
2,1990,11,0.0211824212194527
2,1990,12,0.0310555457389777
2,1990,13,0.0431142285592712
2,1990,14,0.055382080215883
2,1990,15,0.0650928095018083
2,1990,16,0.0696200098460755
2,1990,17,0.0685010061897912
2,1990,18,0.0628930303792468
2,1990,19,0.056086857854084
2,1990,20,0.0526366994959945
2,1990,21,0.0560716356476276
2,1990,22,0.0633952815476338
2,1990,23,0.0628653095410611
2,1990,24,0.0461718904431113
2,1990,25,0.0260109631367274
2,1990,26,0.0128295421165279
2,1991,1,0.0132821274220611
2,1991,2,0.0151523552488333
2,1991,3,0.0161671128646406
2,1991,4,0.015093605202436
2,1991,5,0.0121032428362777
2,1991,6,0.0090503775015246
2,1991,7,0.00692042395311103
2,1991,8,0.00546679271193955
2,1991,9,0.00409947275205442
2,1991,10,0.00270841750278065
2,1991,11,0.00174722513576121
2,1991,12,0.00136771379792819
2,1991,13,0.00156351539057979
2,1991,14,0.00259769786145663
2,1991,15,0.00584318530431193
2,1991,16,0.0153515685163412
2,1991,17,0.0325973000118398
2,1991,18,0.0374741448406175
2,1991,19,0.0237435936210964
2,1991,20,0.0161465034283659
2,1991,21,0.0232714015164896
2,1991,22,0.0661770274715108
2,1991,23,0.180380838301423
2,1991,24,0.244001719890027
2,1991,25,0.166761327577599
2,1991,26,0.0809313093389925
2,1992,1,0.0464394640583393
2,1992,2,0.0389075282487488
2,1992,3,0.0335488010930894
2,1992,4,0.0306292333620692
2,1992,5,0.0284979482225035
2,1992,6,0.0226190664124415
2,1992,7,0.0127216424052971
2,1992,8,0.00568417469109098
2,1992,9,0.00319925510164348
2,1992,10,0.00351842424856835
2,1992,11,0.0072580769174599
2,1992,12,0.0197820174261079
2,1992,13,0.0509210762495237
2,1992,14,0.0989146836128159
2,1992,15,0.120443604663772
2,1992,16,0.0865814512586774
2,1992,17,0.0496550576886779
2,1992,18,0.0326514829223402
2,1992,19,0.029557314742649
2,1992,20,0.0334692009907401
2,1992,21,0.0420497933019631
2,1992,22,0.0518530618803645
2,1992,23,0.0553888427458495
